Red,Green,Blue,pH
207,191.5,21,5.5
212.9,195.8,24.6,5.5
203.5,197.7,23.7,5.5
209.9,199.1,23.8,5.5
207.6,195.8,19.3,5.5
207.5,192.5,22,5.5
205.3,194.4,20.3,5.5
205,191.8,20.1,5.5
205.7,197.5,18.4,5.5
212.8,193.4,23.6,5.5
207.6,197.4,21.4,5.5
211.4,192.1,21.7,5.5
206.5,199.2,21.6,5.5
206,192.9,21.8,5.5
210.5,191.7,22.8,5.5
203.1,193.1,20.8,5.5
204.2,193.8,21.9,5.5
208.5,192.3,26.5,5.5
205.1,196.2,27.2,5.5
211.7,195.4,21,5.5
209.8,196.8,22.4,5.5
203.2,190.8,24.3,5.5
203.8,196.5,22,5.5
204.3,197.4,23.7,5.5
212.3,194.5,25.9,5.5
205,199.2,25.1,5.5
209.7,194.4,21.8,5.5
210.1,193.7,19.7,5.5
204.1,197,19.8,5.5
211.5,193.5,19.6,5.5
210.7,196.7,24.7,5.5
212.9,197.6,23,5.5
208.7,192.1,24.6,5.5
210.8,195,25.7,5.5
208.4,199.5,18.7,5.5
211.5,198.8,26.5,5.5
209.5,196.6,27.4,5.5
206.9,191.7,27.3,5.5
208.8,198.5,25.8,5.5
209.8,193,18.9,5.5
189.7,177.8,23.7,5.8
187.4,176.1,18.9,5.8
186.1,178.7,20.1,5.8
189.2,175.7,25.8,5.8
186.9,175.7,21.9,5.8
188.1,178.3,19.8,5.8
187.2,179.3,21.5,5.8
190.2,180.9,24.6,5.8
189.7,174.2,18.5,5.8
188.3,175.7,25.2,5.8
190.4,177.3,20.9,5.8
186.4,175.9,18.7,5.8
189,172.9,21.1,5.8
187.1,176.1,27.1,5.8
188.7,178.6,27,5.8
188.4,175.1,21.2,5.8
188.7,173.7,21.9,5.8
186.8,177.8,26,5.8
189.9,175.6,22,5.8
186.1,173.1,20.4,5.8
187.6,177.6,21.8,5.8
188.7,175.2,21.3,5.8
190.4,174,24.7,5.8
186,179.3,23.8,5.8
189.8,175.4,20,5.8
187.8,173.4,18.7,5.8
189.3,177.8,21.8,5.8
188.5,174.8,24,5.8
186.4,181.8,26.2,5.8
189.1,177.9,24.4,5.8
186.7,178.6,26.9,5.8
189.5,177.8,18.5,5.8
188.5,174.4,24.6,5.8
185.8,175.4,18.8,5.8
186.9,181.5,26.3,5.8
189.2,174.6,23.6,5.8
190.4,172.9,21.8,5.8
186.9,172.7,26.8,5.8
188,180.4,18.4,5.8
187.1,181.3,26.9,5.8
177,166,16.9,6
177.9,169.2,22.8,6
173.4,168.5,24.9,6
174.8,164,16.3,6
174.9,168.3,23.3,6
172.9,163.7,18.5,6
174.8,163.1,19.3,6
178.7,168.5,20.2,6
180.2,167.8,20.2,6
175.5,162.1,22.8,6
174.1,166.4,17.7,6
176,163.1,24.3,6
176.5,162.3,21.5,6
172,164.6,21.8,6
174.4,168.6,23.1,6
179.2,165.7,21.2,6
176.1,167,21,6
176.5,163.6,15.3,6
180.1,170.1,20,6
180.7,162.1,19.8,6
180.3,161.6,24.1,6
175,167.7,22.9,6
174,170.2,20.3,6
177.2,169.4,20.3,6
177,161.4,19.7,6
176.3,166.8,17.3,6
179.3,168.4,18.5,6
177.6,167.2,21.3,6
177,169.6,16.7,6
177.8,167.4,16.7,6
179.3,167,20,6
179.5,161.4,16.4,6
177.8,169.1,20.2,6
176.8,164.5,18.8,6
174.6,163.7,18.5,6
181.7,166.8,23.4,6
178.7,169.9,23,6
174.6,166.5,17.5,6
172.2,165.6,23.5,6
174.5,162.8,21.2,6
147.8,146.5,30.2,6.2
150.7,146.1,23.4,6.2
151.7,146.8,26.1,6.2
152.9,150.5,22.9,6.2
153.3,153.9,30.6,6.2
145.6,147.3,24.4,6.2
152.4,147.1,25.8,6.2
150.8,149.7,23.8,6.2
153.4,148.7,25.8,6.2
146.4,150.9,23.4,6.2
153.3,153.8,25.7,6.2
150.9,150.4,22.3,6.2
146.6,152.4,30.9,6.2
146.5,149,26.9,6.2
147.2,154.6,28,6.2
152.8,153.8,21.6,6.2
145.7,146.5,22.9,6.2
152,148.1,24.5,6.2
151.7,149.6,30.3,6.2
147,148.1,28.7,6.2
152.7,153.2,21,6.2
151.4,154.5,24.6,6.2
148.3,148.5,23.5,6.2
148,154.8,27.4,6.2
146,146.3,28.6,6.2
148.3,153.2,23.1,6.2
149.2,152.6,22.5,6.2
146.2,149.8,21,6.2
154.6,152.1,23,6.2
149.2,147.2,30.2,6.2
153.4,151.4,23.2,6.2
149.6,145.2,21.8,6.2
152.3,147.9,27.4,6.2
151.9,153.1,27.9,6.2
153.8,149.4,24,6.2
153.7,145.1,21.3,6.2
150.3,153.2,22.5,6.2
146.2,147.9,21.3,6.2
153.9,154.5,28.3,6.2
153,151.4,24.9,6.2
126.6,134.4,25.5,6.4
132,134.4,28.2,6.4
129.3,142.9,23.9,6.4
130.9,138.7,27.2,6.4
129.9,133.2,27.5,6.4
130,138.7,30.8,6.4
132.9,142.6,29.2,6.4
132,140,24.2,6.4
125.3,137.8,30.2,6.4
133.1,136.2,28.6,6.4
126.8,135.7,27,6.4
130.5,133.7,23.4,6.4
132,138.7,26.3,6.4
127.2,137.7,31.9,6.4
128.8,138.3,27.1,6.4
129.9,133.6,25.9,6.4
128.5,133.1,31.6,6.4
133.9,141.1,25.7,6.4
131.7,138.8,26.5,6.4
132.4,134.9,23.4,6.4
133.6,138.7,25,6.4
124.4,136.1,23.3,6.4
130.5,137.2,26.7,6.4
125.4,135.8,25.9,6.4
133.6,141.8,24.7,6.4
130.1,133.8,24.4,6.4
133.9,142.2,28.7,6.4
126.7,137.9,26.2,6.4
133,139.7,30.1,6.4
125.7,134.6,30.8,6.4
127.6,136.5,31.1,6.4
129,141.5,31.9,6.4
128.5,141.6,28.5,6.4
126.4,141.3,30.8,6.4
129.5,139.5,23.4,6.4
126.3,137.4,32,6.4
127.6,137.2,30.1,6.4
128.9,138.8,29.8,6.4
126.2,142.6,29.1,6.4
133.9,137.9,25.4,6.4
113.2,127.6,20.9,6.6
120.6,126.1,21.8,6.6
118.1,127.9,23.8,6.6
112.2,122.2,23,6.6
116.1,123.5,25.3,6.6
120.1,127.4,21.1,6.6
118.8,125.9,28.2,6.6
115.9,121.2,22.5,6.6
113.7,125.2,21.7,6.6
119.8,119.4,20.5,6.6
116.7,126.5,24.7,6.6
114.6,122.1,27.4,6.6
118.5,124.7,27.2,6.6
121.1,127.3,19.6,6.6
118.3,123.7,24.4,6.6
112.2,119.4,25,6.6
117,125,19,6.6
121,122.1,28,6.6
115.4,124.5,25.1,6.6
121,122.7,23.9,6.6
118.4,123.9,20.2,6.6
117.9,124.4,26.3,6.6
112.5,126.2,25.7,6.6
113.1,124.9,19.1,6.6
113.4,119.2,27.3,6.6
114.2,123.2,18.9,6.6
117,121.5,25.2,6.6
120.3,124.3,27.4,6.6
115.5,121.3,18.9,6.6
115.9,123.5,23.8,6.6
120.6,124.1,20.1,6.6
119.1,127.8,27.4,6.6
112.5,123.8,25.9,6.6
121.9,125.2,25.5,6.6
112.5,120.1,27.8,6.6
112.9,123.9,20,6.6
120.7,127.2,25.1,6.6
118.5,122.1,26.1,6.6
116.4,122.1,20.8,6.6
115.4,127,23.7,6.6
99.2,114.8,33.8,6.8
90.9,120.4,27.2,6.8
98.3,123,34.2,6.8
94.3,119,27,6.8
91.1,121.9,31.7,6.8
93.8,113.5,29.5,6.8
97.7,117.2,31.6,6.8
96.9,120.3,28.9,6.8
97.7,120.5,36.6,6.8
99.1,114.5,34.1,6.8
93.8,118.9,36.7,6.8
95.9,120.4,30.7,6.8
97.7,121.3,28.8,6.8
96.5,118.9,35.9,6.8
92.1,118.5,27.9,6.8
97.3,118.8,27.2,6.8
98.9,117.2,31.3,6.8
98.2,122.7,29.9,6.8
90.3,116.4,29.1,6.8
99,119,36.3,6.8
93.1,120.4,32.9,6.8
92.3,118.8,34,6.8
95.5,116.7,34.6,6.8
91.4,118.4,32.2,6.8
89.4,115.5,31,6.8
92.7,118.4,33.3,6.8
94,116.7,29.7,6.8
92.7,121.1,29.5,6.8
93,121.9,32.3,6.8
94.7,122.1,33.1,6.8
94.4,113.2,30.9,6.8
90.9,119.1,31.2,6.8
97.3,114.8,31.8,6.8
97,119.4,28.1,6.8
95.6,117.9,32.9,6.8
95.9,115.6,32.7,6.8
89.3,114.8,29,6.8
95.9,116.3,31.6,6.8
92,120.8,35.1,6.8
91.3,122.5,31.2,6.8
77.2,102.8,32,7
79.8,106.3,26.6,7
78.8,105.3,33,7
78,101.6,35,7
81.5,105.6,26.8,7
73.6,104.3,30.4,7
74.7,105.2,31.6,7
72.9,106.2,26.5,7
81.6,105.7,31.8,7
75.1,107.7,28.3,7
79.7,104.4,31.1,7
80.9,107.5,32,7
76,105.8,27.9,7
80.8,103.1,28.5,7
81,103.1,28.9,7
74,100.6,25.9,7
80.3,105.5,33.3,7
77.6,106.3,26.3,7
74.8,103.7,33.4,7
78.2,104.2,33.5,7
79.3,109.9,27.6,7
79.3,107,33.3,7
74.8,101.3,26.3,7
81.8,103,29.7,7
79.6,105.1,30.6,7
78.6,105.3,34.2,7
75.2,102.1,34.6,7
75.6,105.6,26,7
74,110.3,28.2,7
74.5,101.7,34.9,7
79.4,103.1,35,7
78.4,109.9,31,7
78.9,109.3,25.8,7
74.1,101,28.8,7
73.7,105.2,32.3,7
77.9,107.6,26.1,7
73.2,103.7,26.7,7
77.1,110.2,27.9,7
79.5,109.2,28.1,7
79.7,108,33.5,7
43.6,87.5,22.8,7.2
50.9,90.8,25.9,7.2
47.6,85.9,27.5,7.2
43.8,86,27.9,7.2
52.3,92.9,28.5,7.2
45.5,90.2,24.4,7.2
44.2,86.6,21.8,7.2
46.1,90.2,24,7.2
50.2,92.7,24.7,7.2
44.4,92.8,21.9,7.2
47,83.5,22,7.2
51,88.2,23.6,7.2
44.4,83.3,23.8,7.2
51.1,84.3,27.1,7.2
44.8,83.8,30,7.2
46,89.5,28.3,7.2
51.2,92.1,23,7.2
51.9,84.1,26.6,7.2
46.6,90.5,29.1,7.2
46.3,92.4,21.2,7.2
49.7,91.3,20.9,7.2
50.7,91.4,28.4,7.2
43.3,89.1,23.1,7.2
46.4,91.3,29.8,7.2
48.1,84.4,24.8,7.2
52.6,85.7,26,7.2
43.9,89.7,29.8,7.2
47.2,90,23.5,7.2
44.6,85.1,20.4,7.2
47.4,87,20.8,7.2
43.7,92.4,21.2,7.2
50.6,83.8,26.9,7.2
43.9,83.6,26,7.2
43.8,93,24.7,7.2
46.1,88,25,7.2
52.8,83,27.7,7.2
49.6,92.1,24,7.2
50.6,92,26.9,7.2
43.7,85.4,28.9,7.2
46.1,85.1,25.8,7.2
49.6,73.4,15.3,7.4
52.7,77.1,14.3,7.4
53,76.6,23.3,7.4
48.9,74.2,14.3,7.4
51.5,78.9,22.5,7.4
56,73.3,18.6,7.4
55.7,82,15.4,7.4
49.2,78.9,17.1,7.4
50.8,78.7,21.4,7.4
53,74.3,20.4,7.4
49.2,73.2,20.1,7.4
53.4,73.5,16.9,7.4
55.9,75.6,15.5,7.4
48.3,80.2,16.9,7.4
48.1,75.1,14.8,7.4
56.2,73.9,20.7,7.4
52.5,77.5,21.9,7.4
51.7,78.8,14.7,7.4
56.6,72.1,15.5,7.4
53.6,80.8,19.3,7.4
52,79.7,17.8,7.4
52.2,72.4,18.8,7.4
53.5,73.4,15.3,7.4
56.1,80.3,19.2,7.4
56.8,80.4,21.9,7.4
52.8,78.1,24,7.4
54,80.4,16.9,7.4
47,80.6,20.7,7.4
53.1,75.8,20.3,7.4
50.4,77.4,14.2,7.4
54.8,79,21.5,7.4
51.4,78.6,23.9,7.4
54.7,76.3,16.7,7.4
52.3,81.4,22.4,7.4
54.3,77.6,18.5,7.4
54.8,76.8,18.6,7.4
50.8,73.9,21.3,7.4
48.9,78.5,20.7,7.4
51.1,78.7,19.6,7.4
54,73.2,23.5,7.4
0.8,72.7,62.3,7.6
-2.4,73.1,62.7,7.6
-4.1,70.1,56.2,7.6
-2.6,73.5,53.2,7.6
-4.2,68.3,56.4,7.6
-3.4,67.5,60.9,7.6
-2.2,69.4,54.9,7.6
-3.7,65.3,53.6,7.6
2.5,72.4,56.6,7.6
3.1,66,55.1,7.6
3.6,72.8,58.2,7.6
3.8,73.7,60.8,7.6
-2.1,73,55.2,7.6
0.1,69.5,56.5,7.6
-1.1,68.5,53.3,7.6
1.3,73.9,54.8,7.6
1.2,65,54.8,7.6
4.6,70.4,55.1,7.6
0.1,65,59.6,7.6
3.2,68.5,58.4,7.6
3.7,71.5,61.5,7.6
3,69,57,7.6
-2.8,67.9,57.8,7.6
-4.2,72,57.4,7.6
-4.3,67,58,7.6
-1.8,64.3,58.7,7.6
-2.9,69.6,63,7.6
3.9,69.1,58.2,7.6
-3.3,73.3,55.9,7.6
0,67.2,54,7.6
-2.1,65.5,56.3,7.6
2.2,67,62.4,7.6
3,64.6,58.3,7.6
3.4,68.7,57.2,7.6
4.9,71.2,61,7.6
3.9,72.1,58.4,7.6
1.2,66.5,62.9,7.6
1.1,67.8,54.3,7.6
4.8,68.6,56,7.6
1.9,66.6,55.6,7.6
13.8,35.8,50.5,8
16.2,33.3,48.1,8
11.1,31.8,49.3,8
19.2,33.8,45.5,8
13.5,33,52.6,8
19.4,36.1,51.5,8
19.6,29.6,44.5,8
17.5,31.5,52.7,8
17.9,30.1,48.5,8
12.1,34.9,48.7,8
19.2,34.8,51,8
13.2,35.8,45.6,8
10.8,37.2,50,8
12.9,36.5,51.8,8
16.2,33.1,47.2,8
18,37.8,46.2,8
10.1,38.6,45,8
13.3,34.8,52,8
19.3,34.4,46.3,8
14.7,34.8,51.7,8
13.8,29.6,45.4,8
18.9,33.8,48.6,8
17.8,32.5,49.8,8
10.5,37.9,46.2,8
17.2,38.7,50.2,8
19.3,34.7,47.2,8
18.1,31.3,47,8
12.7,29.4,45.2,8
15.3,35.7,48.7,8
17.3,38.4,52.7,8
14.4,32.9,53.6,8
14.2,30.4,49.2,8
10.4,36.2,50.2,8
12.3,36.7,52.2,8
15.1,38.4,53.4,8
18.1,32.9,45.6,8
14.7,33.4,45.8,8
14.6,35.7,45.3,8
17.7,31.3,49.9,8
11.2,37.9,44.2,8
